Slice Title,Slug,Includes (element IDs or page names),Complexity (1–10),Why it’s a slice boundary
Library read + curate MVP,slice-library-core,"GalleryView, GallerySidebar, grid/list/GalleryGridTile/GalleryListRow, InspectModal, BulkActionBar, collections, saved filters, GalleryStatsDrawer",7,"Stable canonical + overrides read path; everything else consumes this"
Patreon sync + health UX,slice-patreon-sync,"PatreonSyncMenu, LibraryTopBar pill/banner, formatPatreonSyncResult, patreon/cookie, export retry",6,"Separate operational concerns: OAuth watermark health retries—ship/test as one vertical"
Designer + layout API,slice-designer,"designer/* DesignerView LayoutPreview HeroEditor SectionEditor ThemePicker DesignerPreviewToolbar",7,"Stage projection; boundary is layout schema + buildGalleryQuery alignment"
Viewer parity gate,slice-viewer-parity,"Publish preflight warnings, VisitorGalleryView, Designer preview checks, shared query helpers",8,"Cross-cutting quality gate—own slice to avoid desync bugs"
Visitor public shell (Phase E),slice-visitor-public,"visitor/page visitor/favorites OG share performance states",5,"Consumption UX and SEO—after Library/Designer contracts per pattern-library"
Identity: creator Patreon,slice-auth-creator-patreon,"patreon/connect patreon/callback",4,"Clear boundary: creator token path only"
Identity: patron Patreon,slice-auth-patron-patreon,"patreon/patron/connect patron/callback exchange API wiring",6,"Different redirect/state; no creator credential store write"
Analytics dashboard,slice-analytics-dashboard,"Dashboard routes snapshots first-party events Phase 1",7,"What happened separate from Action Center execution"
Action Center,slice-action-center,"Cards filters accept/dismiss/execute explanation history",8,"Human gates + explainability—distinct service + API"
Connectors & provenance,slice-connectors-trust,"Connector OAuth UI metric labels official vs aggregator vs extractor",7,"Trust UI boundary per third-party-metrics doc"
Relay Link / pixel,slice-relay-link-pixel,"Opt-in link builder install snippet event verification",6,"Tier 0—legal/consent before traffic instrumentation"
Smart Tag Assistant,slice-smart-tags,"Processing zone suggestions clusters confirm apply audit",9,"Post-stabilization; needs workers vector private inference"
Patron shell foundations,slice-patron-shell-k,"Dedicated routes chrome registration login follow graph UI",8,"Fan surface split from Library—milestone Part 3"
Feed + Browse,slice-feed-browse-l,"Feed home Browse discovery vs subscription labels caps rank transparency",9,"Entitlement assembly + ranking—highest integration Part 3"
Engagement + promos,slice-engagement-promos-mo,"Comments favorites patron collections creator promo opt-in daily promo premium boost",9,"Policy-heavy; depends on feed + billing sub-slices"
Billing & plans,slice-billing-plans,"Plan tier invoices meters BYOI indicator",6,"Commercial boundary; Stripe + internal entitlements"
Migration clone + Re-Populate,slice-migration-part2,"Tier mapping campaign builder preflight DNS deploy rollback conversion dashboards",10,"Part 2—all-or-nothing safety compliance"
Global shell + system pages,slice-global-system,"layout AppNav evolution 404 500 banners session expired",4,"Cross-cutting infra UX"
